Company,Ticker,Sector,Market Cap,num. of employees,revenue,profit,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,rank,rank_change,Website
Zebra Technologies,ZBRA,Industrials,21959.1,9800,5627,837,Lincolnshire,IL,no,no,no,yes, ,Anders Gustafsson,553,0,https://www.zebra.com
Coty,COTY,Household Products,7540.6,11430,5616.2,-201.3,New York,NY,no,no,yes,no, ,Sue Y. Nabi,554,0,https://www.coty.com
Schneider National,SNDR,Transportation,4551.6,17050,5608.7,405.4,Green Bay,WI,no,no,no,yes, ,Mark B. Rourke,555,0,https://www.schneider.com
Sonoco Products,SON,Materials,6099.1,20500,5590.4,-85.5,Hartsville,SC,no,no,no,no, ,R. Howard Coker,556,0,https://www.sonoco.com
Concentrix,CNXC,Technology,8605.2,290000,5587,405.6,Fremont,CA,no,no,no,yes, ,Christopher A. Caldwell,557,0,https://www.concentrix.com
Evergy,EVRG,Energy,15512.7,4930,5586.7,879.7,Kansas City,MO,no,no,no,yes, ,David A. Campbell,558,0,https://http://investors.evergy.com
Cornerstone Building Brands,dfsfs,Materials,3088.7,21700,5583.1,665.9,Cary,NC,no,no,yes,yes, ,Rose Lee,559,0,https://www.cornerstonebuildingbrands.com
Coca-Cola Consolidated,COKE,"Food, Beverages & Tobacco",4657.3,15050,5562.7,189.6,Charlotte,NC,no,no,no,yes, ,J. Frank Harrison III,560,0,https://www.cokeconsolidated.com
Greif,GEF,Materials,3134,16000,5556.1,390.7,Delaware,OH,no,no,no,yes, ,Ole Rosgaard,561,0,https://www.greif.com
Vulcan Materials,VMC,Materials,24412.7,11912,5552.2,670.8,Birmingham,AL,no,no,no,yes, ,J. Thomas Hill,562,0,https://www.vulcanmaterials.com
Ametek,AME,Technology,30787.3,18500,5546.5,990.1,Berwyn,PA,no,no,no,yes, ,David A. Zapico,563,0,https://www.ametek.com
Monster Beverage,MNST,"Food, Beverages & Tobacco",42295.8,3775,5541.4,1377.5,Corona,CA,no,no,no,yes, ,#REF!,564,0,https://www.monsterbevcorp.com
Sealed Air,SEE,Materials,9920.7,16500,5533.8,506.8,Charlotte,NC,no,no,no,yes, ,Edward L. Doheny II,565,0,https://www.sealedair.com
NOV,NOV,Energy,7700.2,27043,5524,-250,Houston,TX,no,no,no,no, ,Clay C. Williams,566,0,https://www.nov.com
Las Vegas Sands,LVS,"Hotels, Restaurants & Leisure",29696.4,44600,5505,-961,Las Vegas,NV,no,no,no,no, ,Robert G. Goldstein,567,0,https://www.sands.com
Martin Marietta Materials,MLM,Materials,24015.1,10000,5493.2,702.5,Raleigh,NC,no,no,no,yes, ,C. Howard Nye,568,0,https://www.martinmarietta.com
Marathon Oil,MRO,Energy,18349.5,1531,5467,946,Houston,TX,no,no,no,yes, ,Lee M. Tillman,569,0,https://www.marathonoil.com
Mattel,MAT,Household Products,7823.3,36300,5457.7,903,El Segundo,CA,no,no,no,yes, ,Ynon Kreiz,570,0,https://www.mattel.com
Microchip Technology,MCHP,Technology,41777.1,19500,5438.4,349.4,Chandler,AZ,no,no,no,yes, ,Ganesh Moorthy,571,0,https://www.microchip.com
Harley-Davidson,HOG,Transportation,6062.9,5800,5336.3,650,Milwaukee,WI,no,no,no,yes, ,Jochen Zeitz,572,0,https://www.harley-davidson.com
Telephone & Data Systems,TDS,Telecommunications,2163.4,8800,5329,156,Chicago,IL,no,no,no,yes, ,LeRoy T. Carlson Jr.,573,0,https://www.tdsinc.com
ADT,ADT,Business Services,6843,25000,5307.1,-340.8,Boca Raton,FL,no,no,no,no, ,James D. DeVries,574,0,https://www.adt.com
First Republic Bank,FRC,Financials,29113.6,6295,5305,1478,San Francisco,CA,no,no,no,yes, ,Michael J. Roffler,575,0,https://www.firstrepublic.com
Warner Music Group,WMG,Media,19485.7,5900,5301,304,New York,NY,no,no,no,yes, ,Stephen F. Cooper,576,0,https://www.wmg.com
Pool,POOL,Wholesalers,12608,5650,5295.6,650.6,Covington,LA,no,no,no,yes, ,Peter Arvan,577,0,https://www.poolcorp.com
Old Dominion Freight Line,ODFL,Transportation,34307.5,23663,5256.3,1034.4,Thomasville,NC,no,no,no,yes, ,Greg C. Gantt,578,0,https://www.odfl.com
Fortive,FTV,Industrials,21877.9,18000,5254.7,608.4,Everett,WA,no,no,no,yes, ,James A. Lico,579,0,https://www.fortive.com
MDC Holdings,MDC,Engineering & Construction,2692.7,2080,5254.7,573.7,Denver,CO,no,no,no,yes, ,David D. Mandarich,580,0,https://www.mdcholdings.com
NGL Energy Partners,NGL,Energy,288.6,997,5243.2,-639.8,Tulsa,OK,no,no,no,no, ,H. Michael Krimbill,581,0,https://www.nglenergypartners.com
Edwards Lifesciences,EW,Health Care,73141.4,15700,5232.5,1503.1,Irvine,CA,no,no,no,yes, ,Michael A. Mussallem,582,0,https://www.edwards.com
Hanover Insurance Group,THG,Financials,5317.9,4400,5227.8,418.7,Worcester,MA,no,no,no,yes, ,John C. Roche,583,0,https://www.hanover.com
Syneos Health,SYNH,Health Care,8436.7,27443,5213,234.8,Morrisville,NC,no,no,yes,yes, ,Michelle Keefe,584,0,https://www.syneoshealth.com
Xylem,XYL,Industrials,15354.7,16700,5195,427,Washington,DC,no,no,no,yes, ,Patrick K. Decker,585,0,https://www.xylem.com
Church & Dwight,CHD,Household Products,24119.1,5100,5190.1,827.5,Ewing,NJ,no,no,no,yes, ,Matthew T. Farrell,586,0,https://www.churchdwight.com
American Axle & Manufacturing,AXL,Motor Vehicles & Parts,888.3,18000,5156.6,5.9,Detroit,MI,no,no,no,yes, ,David C. Dauch,587,0,https://www.aam.com
Meritage Homes,MTH,Engineering & Construction,2907.3,1773,5141.3,737.4,Scottsdale,AZ,no,no,no,yes, ,Phillippe Lord,588,0,https://www.meritagehomes.com
Workday,WDAY,Technology,60583.4,15200,5138.8,29.4,Pleasanton,CA,no,yes,no,yes, ,#REF!,589,0,https://www.workday.com
Rush Enterprises,RUSHB,Retailing,2788.5,7141,5126.1,241.4,New Braunfels,TX,no,no,no,yes, ,W. M. Rush,590,0,https://www.rushenterprises.com
Yellow,YELL,Transportation,360.3,32000,5121.8,-109.1,Nashville,TN,no,no,no,no, ,Darren D. Hawkins,591,0,https://www.myyellow.com
Encompass Health,EHC,Health Care,7071.1,35681,5121.6,412.2,Birmingham,AL,no,no,no,yes, ,Mark J. Tarr,592,0,https://www.encompasshealth.com
Simon Property Group,SPG,Financials,43197.8,2850,5116.8,2249.6,Indianapolis,IN,no,no,no,yes, ,David E. Simon,593,0,https://www.simon.com
Globe Life,GL,Financials,9977.3,3222,5112.9,745,McKinney,TX,no,no,no,yes, ,#REF!,594,0,https://www.globelifeinsurance.com
Skyworks Solutions,SWKS,Technology,21547.5,10945,5109.1,1498.3,Irvine,CA,no,no,no,yes, ,Liam K. Griffin,595,0,https://www.skyworksinc.com
Endeavor Group Holdings,EDR,Media,20363.1,7700,5077.7,-296.6,Beverly Hills,CA,no,no,no,no, ,Ariel Emanuel,596,0,https://www.endeavorco.com
Twitter,dfsfs,Technology,30976.8,7500,5077.5,-221.4,San Francisco,CA,no,no,no,no, ,Elon Musk,597,0,https://www.twitter.com
Leggett & Platt,LEG,Household Products,4659,20300,5072.6,402.4,Carthage,MO,no,no,no,yes, ,J. Mitchell Dolloff,598,0,https://www.leggett.com
Western Union,WU,Business Services,7374.7,10500,5070.8,805.8,Denver,CO,no,no,no,yes, ,Devin B. McGranahan,599,0,https://www.westernunion.com
PerkinElmer,PKI,Health Care,15984,16700,5067.2,943.2,Waltham,MA,no,no,no,yes, ,Prahlad Singh,600,0,https://www.perkinelmer.com
SS&C Technologies Holdings,SSNC,Technology,19235.1,24900,5051,800,Windsor,CT,no,yes,no,yes, ,William C. Stone,601,0,https://www.ssctech.com
CUNA Mutual Group,dfsfs,Financials,34345,4100,5049.5,622.3,Madison,WI,no,no,no,yes, ,Robert N. Trunzo,602,0,https://www.cunamutual.com
FMC,FMC,Chemicals,16563.8,6400,5045.2,736.5,Philadelphia,PA,no,no,no,yes, ,Mark A. Douglas,603,0,https://www.fmc.com
Carlisle,CSL,Materials,12804.5,11250,5030,421.7,Scottsdale,AZ,no,no,no,yes, ,D. Christian Koch,604,0,https://www.carlisle.com
American Eagle Outfitters,AEO,Retailing,2836.6,24000,5010.8,419.6,Pittsburgh,PA,no,no,no,yes, ,Jay L. Schottenstein,605,0,https://www.aeo-inc.com
Core & Main,CNM,Wholesalers,5948.8,4100,5004,166,St. Louis,MO,no,no,no,yes, ,Stephen O. LeClair,606,0,https://www.coreandmain.com
Vertiv Holdings,VRT,Industrials,5263.9,24000,4998.1,119.6,Columbus,OH,no,no,no,yes, ,Robert J. Johnson,607,0,https://www.vertiv.com
Broadridge Financial Solutions,BR,Business Services,18182.7,13704,4993.7,547.5,Lake Success,NY,no,no,no,yes, ,Timothy C. Gokey,608,0,https://www.broadridge.com
Ingles Markets,IMKTA,Food & Drug Stores,1691.4,18460,4987.9,249.7,Black Mountain,NC,no,no,no,yes, ,James W. Lanning,609,0,https://www.ingles-markets.com
TPG,TPG,Financials,9304.9,1013,4976.4,2180.9,Fort Worth,TX,no,no,no,yes, ,Jon Winkelried,610,0,https://www.tpg.com
Insperity,NSP,Business Services,3849.8,3600,4973.1,124.1,Kingwood,TX,no,yes,no,yes, ,Paul J. Sarvadi,611,0,https://www.insperity.com
Howmet Aerospace,HWM,Aerospace & Defense,15055.4,19900,4972,258,Pittsburgh,PA,no,no,no,yes, ,John C. Plant,612,0,https://www.howmet.com
R.R. Donnelley & Sons,RRD,Media,289.9,32000,4963.7,3.7,Chicago,IL,no,no,no,yes, ,Thomas J. Quinlan III,613,0,https://www.rrd.com
Keysight Technologies,KEYS,Technology,28746.6,14300,4941,894,Santa Rosa,CA,no,no,no,yes, ,Satish Dhanasekaran,614,0,https://www.keysight.com
Tempur Sealy International,TPX,Household Products,4506,12000,4930.8,624.5,Lexington,KY,no,no,no,yes, ,Scott Thompson,615,0,https://www.tempursealy.com
Scotts Miracle-Gro,SMG,Chemicals,6834.6,8050,4925,512.5,Marysville,OH,no,no,no,yes, ,James S. Hagedorn,616,0,https://www.scotts.com
Equifax,EFX,Business Services,29141.8,12700,4923.9,744.2,Atlanta,GA,no,no,no,yes, ,Mark W. Begor,617,0,https://www.equifax.com
Kelly Services,KELYA,Business Services,856,7400,4909.7,156.1,Troy,MI,no,no,no,yes, ,Peter W. Quigley,618,0,https://www.kellyservices.com
NiSource,NI,Energy,12891.2,7307,4899.6,584.9,Merrillville,IN,no,no,no,yes, ,Lloyd M. Yates,619,0,https://www.nisource.com
OneMain Holdings,OMF,Financials,6042.8,8800,4895,1314,Evansville,IN,no,no,no,yes, ,Douglas H. Shulman,620,0,https://www.omf.com
DoorDash,DASH,Technology,40830.3,8600,4888,-468,San Francisco,CA,no,yes,no,no, ,Tony Xu,621,0,https://https://ir.doordash.com
Avient,AVNT,Chemicals,4388.4,8700,4818.8,230.8,Avon Lake,OH,no,no,no,yes, ,Robert M. Patterson,622,0,https://www.avient.com
Sanderson Farms,dfsfs,"Food, Beverages & Tobacco",4185.4,17662,4799.7,455.1,Laurel,MS,no,no,no,yes, ,Joe F. Sanderson Jr.,623,0,https://www.sandersonfarms.com
TransDigm Group,TDG,Aerospace & Defense,36135.8,13300,4798,680,Cleveland,OH,no,no,no,yes, ,Kevin M. Stein,624,0,https://www.transdigm.com
Stifel Financial,SF,Financials,7226,8600,4783.1,824.9,St. Louis,MO,no,no,no,yes, ,Ronald J. Kruszewski,625,0,https://www.stifel.com
JELD-WEN Holding,JELD,Materials,1826,24700,4771.7,168.8,Charlotte,NC,no,no,no,yes, ,Kevin C. Lilly,626,0,https://www.jeld-wen.com
Ares Management,ARES,Financials,18940,2100,4770.6,408.8,Los Angeles,CA,no,yes,no,yes, ,Michael Arougheti,627,0,https://www.aresmgmt.com
Elanco Animal Health,ELAN,Health Care,12345.4,9800,4765,-472,Greenfield,IN,no,no,no,no, ,Jeffrey N. Simmons,628,0,https://www.elanco.com
Prologis,PLD,Financials,119524.5,2053,4759.4,2939.7,San Francisco,CA,no,yes,no,yes, ,Hamid R. Moghadam,629,0,https://www.prologis.com
Welltower,WELL,Financials,43001.5,464,4742.1,336.1,Toledo,OH,no,no,no,yes, ,Shankh S. Mitra,630,0,https://www.welltower.com
Darling Ingredients,DAR,"Food, Beverages & Tobacco",12987.4,9900,4741.4,650.9,Irving,TX,no,no,no,yes, ,Randall C. Stuewe,631,0,https://www.darlingii.com
Juniper Networks,JNPR,Technology,11986.6,10191,4735.4,252.7,Sunnyvale,CA,no,no,no,yes, ,Rami Rahim,632,0,https://www.juniper.net
Gartner,IT,Technology,24477.2,16600,4734,793.6,Stamford,CT,no,no,no,yes, ,Eugene A. Hall,633,0,https://www.gartner.com
Par Pacific Holdings,PARR,Energy,783.3,1336,4710.1,-81.3,Houston,TX,no,no,no,no, ,William C. Pate,634,0,https://www.parpacific.com
Hubbell,HUBB,Industrials,9959.6,18300,4703.5,399.5,Shelton,CT,no,no,no,yes, ,Gerben W. Bakker,635,0,https://www.hubbell.com
CME Group,CME,Financials,85492.3,3480,4689.7,2636.4,Chicago,IL,no,no,no,yes, ,Terrence A. Duffy,636,0,https://www.cmegroup.com
Nexstar Media Group,NXST,Media,6883,11817,4648.4,834.6,Irving,TX,no,yes,no,yes, ,Perry Sook,637,0,https://www.nexstar.tv
Tutor Perini,TPC,Engineering & Construction,551.8,7800,4641.8,91.9,Sylmar,CA,no,no,no,yes, ,Ronald N. Tutor,638,0,https://www.tutorperini.com
Antero Resources,AR,Energy,9608,519,4619.4,-186.9,Denver,CO,no,yes,no,no, ,Paul M. Rady,639,0,https://www.anteroresources.com
Teledyne Technologies,TDY,Aerospace & Defense,22102.9,14500,4614.3,445.3,Thousand Oaks,CA,no,no,no,yes, ,Robert Mehrabian,640,0,https://www.teledyne.com
Snap-on,SNA,Industrials,10976.1,12800,4601.7,820.5,Kenosha,WI,no,no,no,yes, ,Nicholas T. Pinchuk,641,0,https://www.snapon.com
Rent-A-Center,RCII,Retailing,1486.9,14290,4583.5,134.9,Plano,TX,no,no,no,yes, ,Mitchell E. Fadel,642,0,https://www.rentacenter.com
Covetrus,CVET,Health Care,2319.3,4873,4575,-54,Portland,ME,no,no,no,no, ,Benjamin Wolin,643,0,https://https://covetrus.com/
Crestwood Equity Partners,CEQP,Energy,2931.5,645,4569,-78.5,Houston,TX,no,yes,no,no, ,Robert G Phillips,644,0,https://www.crestwoodlp.com
Louisiana-Pacific,LPX,Materials,4071,4800,4553,1377,Nashville,TN,no,no,no,yes, ,W. Bradley Southern,645,0,https://www.lpcorp.com
Urban Outfitters,URBN,Retailing,2421.4,16330,4548.8,310.6,Philadelphia,PA,no,yes,no,yes, ,Richard A. Hayne,646,0,https://www.urbn.com
Penn Mutual Life Insurance,dfsfs,Financials,43432,3194,4545.6,522.9,Horsham,PA,no,no,no,yes, ,David M. O&#039;Malley,647,0,https://www.pennmutual.com
Amerco,UHAL,Transportation,11704.7,22052,4542,610.9,Reno,NV,no,no,no,yes, ,Edward J. Shoen,648,0,https://www.amerco.com
TriNet Group,TNET,Business Services,6482.5,2800,4540,338,Dublin,CA,no,no,no,yes, ,Burton M. Goldfield,649,0,https://www.trinet.com
Sentry Insurance Group,dfsfs,Financials,35231,4064,4526.2,739.9,Stevens Point,WI,no,no,no,yes, ,Peter G. McPartland,650,0,https://www.sentry.com
Illumina,ILMN,Technology,54855.8,10775,4526,762,San Diego,CA,no,no,no,yes, ,Francis A. deSouza,651,0,https://www.illumina.com
Iron Mountain,IRM,Business Services,16059.5,25000,4491.5,450.2,Boston,MA,no,no,no,yes, ,William L. Meaney,652,0,https://www.ironmountain.com
LCI Industries,LCII,Motor Vehicles & Parts,2624.5,13900,4472.7,287.7,Elkhart,IN,no,no,no,yes, ,Jason D. Lippert,653,0,https://www.lci1.com
Marvell Technology,MRVL,Technology,60795.7,6712,4462.4,-421,Wilmington,DE,no,no,no,no, ,Matthew J. Murphy,654,0,https://www.marvell.com
PennyMac Financial Services,PFSI,Financials,2368,7208,4450.2,1003.5,Westlake Village,CA,no,no,no,yes, ,David Spector,655,0,https://ir.pennymacfinancial.com
Digital Realty Trust,DLR,Financials,40337.7,3030,4427.9,1709.3,Austin,TX,no,no,no,yes, ,A. William Stein,656,0,https://www.digitalrealty.com
TreeHouse Foods,THS,"Food, Beverages & Tobacco",1800,10000,4405.5,-12.5,Oak Brook,IL,no,no,no,no, ,Steven T. Oakland,657,0,https://www.treehousefoods.com
Ralph Lauren,RL,Apparel,8073.2,16200,4400.8,-121.1,New York,NY,no,no,no,no, ,Patrice Louvet,658,0,https://www.ralphlauren.com
Mattress Firm Group,dfsfs,Retailing,35234,8900,4392.9,-165.1,Houston,TX,no,no,no,no, ,John W. Eck,659,0,https://www.mattressfirm.com
American National Group,dfsfs,Financials,5084.1,4545,4391.8,699.3,Galveston,TX,no,no,no,yes, ,James E. Pozzi,660,0,https://www.americannational.com
Autodesk,ADSK,Technology,46580,12600,4386.4,497,San Rafael,CA,no,no,no,yes, ,Andrew Anagnost,661,0,https://www.autodesk.com
Domino's Pizza,DPZ,"Hotels, Restaurants & Leisure",14665.9,10450,4357.4,510.5,Ann Arbor,MI,no,no,no,yes, ,Russell J. Weiner,662,0,https://www.dominos.com
ASGN,ASGN,Business Services,6022.2,3900,4333.8,409.9,Glen Allen,VA,no,no,no,yes, ,Theodore S. Hanson,663,0,https://www.asgn.com
Flowers Foods,FLO,"Food, Beverages & Tobacco",5438.6,8900,4330.8,206.2,Thomasville,GA,no,no,no,yes, ,A. Ryals McMullian,664,0,https://www.flowersfoods.com
BlueLinx Holdings,BXC,Wholesalers,699.5,2045,4277.2,296.1,Marietta,GA,no,no,no,yes, ,Dwight A.K. Gibson,665,0,https://www.bluelinxco.com
Palo Alto Networks,PANW,Technology,61307.5,10473,4256.1,-498.9,Santa Clara,CA,no,no,no,no, ,Nikesh Arora,666,0,https://www.paloaltonetworks.com
Maximus,MMS,Technology,4641.1,35800,4254.5,291.2,Reston,VA,no,no,no,yes, ,Bruce L. Caswell,667,0,https://www.maximus.com
Dentsply Sirona,XRAY,Health Care,10708,15000,4251,421,Charlotte,NC,no,no,no,yes, ,Simon D. Campion,668,0,https://www.dentsplysirona.com
Hub Group,HUBG,Transportation,2678.5,4700,4232.4,171.5,Oak Brook,IL,no,no,no,yes, ,David P. Yeager,669,0,https://www.hubgroup.com
Bread Financial Holdings,BFH,Business Services,2804.6,6000,4230,801,Columbus,OH,no,no,no,yes, ,Ralph J. Andretta,670,0,https://www.breadfinancial.com
Voya Financial,VOYA,Financials,7042.2,5970,4230,2126,New York,NY,no,no,no,yes, ,Rodney O. Martin Jr.,670,0,https://www.voya.com
Weis Markets,WMK,Food & Drug Stores,1921.1,24000,4224.4,108.8,Sunbury,PA,no,no,no,yes, ,Jonathan H. Weis,672,0,https://www.weismarkets.com
Century Communities,CCS,Engineering & Construction,1388,1600,4216.3,498.5,Greenwood Village,CO,no,yes,no,yes, ,Dale Francescon/Robert Francescon,673,0,https://www.centurycommunities.com
Synopsys,SNPS,Technology,51023.2,16361,4204.2,757.5,Mountain View,CA,no,yes,no,yes, ,Aart J. de Geus,674,0,https://www.synopsys.com
Brink's,BCO,Business Services,3234.4,73350,4200.2,105.2,Richmond,VA,no,no,no,yes, ,Mark Eubanks,675,0,https://www.brinks.com
Lennox International,LII,Industrials,9447.2,11000,4194.1,464,Richardson,TX,no,no,no,yes, ,Alok Maskara,676,0,https://www.lennoxinternational.com
Service Corp. International,SCI,Business Services,10581.3,20840,4143.1,802.9,Houston,TX,no,no,no,yes, ,Thomas L. Ryan,677,0,https://www.sci-corp.com
Conduent,CNDT,Business Services,1111.6,60000,4140,-28,Florham Park,NJ,no,no,no,no, ,Clifford A. Skelton,678,0,https://www.conduent.com
Timken,TKR,Industrials,4539.6,18029,4132.9,369.1,North Canton,OH,no,no,no,yes, ,Richard G. Kyle,679,0,https://www.timken.com
Domtar,dfsfs,Materials,1856.2,6100,4132,-27,Fort Mill,SC,no,no,no,no, ,John D. Williams,680,0,https://www.domtar.com
Bloomin' Brands,BLMN,"Hotels, Restaurants & Leisure",1966.6,82000,4122.4,215.6,Tampa,FL,no,no,no,yes, ,David J. Deno,681,0,https://www.bloominbrands.com
CNO Financial Group,CNO,Financials,2945.7,3350,4122.2,441,Carmel,IN,no,no,no,yes, ,Gary C. Bhojwani,682,0,https://www.cnoinc.com
Snap,SNAP,Technology,58458.4,5661,4117,-488,Santa Monica,CA,no,yes,no,no, ,Evan Spiegel,683,0,https://www.snap.com
Zoom Video Communications,ZM,Technology,22826,6787,4099.9,1375.6,San Jose,CA,no,yes,no,yes, ,Eric Yuan,684,0,https://www.zoom.us
Patrick Industries,PATK,Materials,1408.2,11000,4078.1,224.9,Elkhart,IN,no,no,no,yes, ,Andy L. Nemeth,685,0,https://www.patrickind.com
Paychex,PAYX,Business Services,49268,15000,4056.8,1097.5,Rochester,NY,no,no,no,yes, ,John B. Gibson,686,0,https://www.paychex.com
Atlas Air Worldwide Holdings,AAWW,Transportation,2523.4,4056,4030.8,493.3,Purchase,NY,no,no,no,yes, ,John W. Dietrich,687,0,https://www.atlasairworldwide.com
Bright Health Group,BHG,Health Care,1213.5,3203,4029.4,-1184.9,Minneapolis,MN,no,no,no,no, ,G. Mike Mikan,688,0,https://www.brighthealthcare.com
Peloton Interactive,PTON,"Hotels, Restaurants & Leisure",8760.9,8662,4021.8,-189,New York,NY,no,no,no,no, ,Barry McCarthy,689,0,https://www.onepeloton.com
Country Financial,JDIV,Financials,523532,3149,4016.2,419.2,Bloomington,IL,no,no,no,yes, ,Jim Jacobs,690,0,https://www.countryfinancial.com
Qorvo,QRVO,Technology,13456.4,8750,4015.3,733.6,Greensboro,NC,no,no,no,yes, ,Robert A. Bruggeworth,691,0,https://www.qorvo.com
Catalent,CTLT,Health Care,13377,17300,3998,585,Somerset,NJ,no,no,no,yes, ,Alessandro Maselli,692,0,https://www.catalent.com
Mercury General,MCY,Financials,3045.4,4300,3993.4,247.9,Los Angeles,CA,no,no,no,yes, ,Gabriel Tirador,693,0,https://www.mercuryinsurance.com
AMN Healthcare Services,AMN,Health Care,4867,3800,3984.2,327.4,Dallas,TX,no,no,yes,yes, ,Susan Salka,694,0,https://www.amnhealthcare.com
Tri Pointe Homes,TPH,Engineering & Construction,2160.1,1390,3982.2,469.3,Incline Village,NV,no,no,no,yes, ,Douglas F. Bauer,695,0,https://www.tripointehomes.com
ArcBest,ARCB,Transportation,1979.7,14000,3980.1,213.5,Fort Smith,AR,no,no,yes,yes, ,Judy R. McReynolds,696,0,https://www.arcb.com
Toro,TTC,Industrials,8936.9,10982,3959.6,409.9,Bloomington,MN,no,no,no,yes, ,Richard M. Olson,697,0,https://www.thetorocompany.com
Spirit AeroSystems Holdings,SPR,Aerospace & Defense,5130.6,16100,3953,-540.8,Wichita,KS,no,no,no,no, ,Thomas C. Gentile III,698,0,https://www.spiritaero.com
Align Technology,ALGN,Health Care,34354.8,22540,3952.6,772,Tempe,AZ,no,no,no,yes, ,Joseph M. Hogan,699,0,https://www.aligntech.com
loanDepot,LDI,Financials,1290.3,11307,3943.2,113.5,Foothill Ranch,CA,no,no,no,yes, ,Frank Martell,700,0,https://www.loandepot.com
APi Group,APG,Engineering & Construction,4891.1,13300,3940,47,New Brighton,MN,no,no,no,yes, ,Russell A. Becker,701,0,https://www.apigroupcorp.com
American Water Works,AWK,Energy,30085.5,6400,3930,1263,Camden,NJ,no,no,yes,yes, ,M. Susan Hardwick,702,0,https://www.amwater.com
Matson,MATX,Transportation,2740,4259,3925.3,927.4,Honolulu,HI,no,no,no,yes, ,Matthew J. Cox,703,0,https://www.matson.com
Diebold Nixdorf,DBD,Technology,531.2,22000,3905.2,-78.8,Hudson,OH,no,no,no,no, ,Octavio Marquez,704,0,https://www.dieboldnixdorf.com
Marriott Vacations Worldwide,VAC,"Hotels, Restaurants & Leisure",6620,20300,3890,49,Orlando,FL,no,no,no,yes, ,Stephen P. Weisz,705,0,https://www.marriottvacationsworldwide.com
Terex,TEX,Industrials,2485.5,8600,3886.8,220.9,Norwalk,CT,no,no,no,yes, ,John L. Garrison Jr.,706,0,https://www.terex.com
Sally Beauty Holdings,SBH,Retailing,1720.5,29000,3875,239.9,Denton,TX,no,no,yes,yes, ,Denise A. Paulonis,707,0,https://www.sallybeautyholdings.com
Enovis,ENOV,Industrials,6419.3,16200,3854.3,71.7,Wilmington,DE,no,no,no,yes, ,Matthew L. Trerotola,708,0,https://www.enovis.com
IAC,IAC,Technology,9001.4,13200,3845.1,597.5,New York,NY,no,no,no,yes, ,Joseph M. Levin,709,0,https://www.iac.com
Meritor,dfsfs,Motor Vehicles & Parts,2519.4,9600,3833,199,Troy,MI,no,no,no,yes, ,Chris Villavarayan,710,0,https://www.meritor.com
Ventas,VTR,Financials,24676.2,434,3828,49,Chicago,IL,no,no,yes,yes, ,Debra A. Cafaro,711,0,https://www.ventasreit.com
GoDaddy,GDDY,Technology,14018.7,6611,3815.7,242.3,Tempe,AZ,no,no,no,yes, ,Aman Bhutani,712,0,https://www.godaddy.com
Regal Rexnord,RRX,Industrials,10002.1,30000,3810.3,209.9,Beloit,WI,no,no,no,yes, ,Louis V. Pinkham,713,0,https://www.regalrexnord.com
Puget Energy,dfsfs,Energy,24143,3185,3805.7,260.8,Bellevue,WA,no,no,yes,yes, ,Mary E. Kipp,714,0,https://www.pugetenergy.com
Clean Harbors,CLH,Business Services,6073.8,18300,3805.6,203.2,Norwell,MA,no,yes,no,yes, ,Alan S. McKim,715,0,https://www.cleanharbors.com
Pinnacle West Capital,PNW,Energy,8820,5872,3803.8,618.7,Phoenix,AZ,no,no,no,yes, ,Jeffrey B Guldner,716,0,https://www.pinnaclewest.com
eXp World Holdings,EXPI,Financials,3149.3,1669,3771.2,81.2,Bellingham,WA,no,yes,no,yes, ,Glenn Sanford,717,0,https://www.expworldholdings.com
Mueller Industries,MLI,Industrials,3100.4,5337,3769.3,468.5,Collierville,TN,no,no,no,yes, ,Gregory L. Christopher,718,0,https://www.muellerindustries.com
Wynn Resorts,WYNN,"Hotels, Restaurants & Leisure",9243.3,26950,3763.7,-755.8,Las Vegas,NV,no,no,no,no, ,Craig S. Billings,719,0,https://www.wynnresorts.com
RH,RH,Retailing,7079,6100,3758.8,688.5,Corte Madera,CA,no,no,no,yes, ,Gary G. Friedman,720,0,https://www.rh.com
EPAM Systems,EPAM,Technology,16870.7,58824,3758.1,481.7,Newtown,PA,no,yes,no,yes, ,Arkadiy Dobkin,721,0,https://www.epam.com
M/I Homes,MHO,Engineering & Construction,1262.2,1657,3745.9,396.9,Columbus,OH,no,no,no,yes, ,Robert H. Schottenstein,722,0,https://www.mihomes.com
Generac Holdings,GNRC,Industrials,9189,9248,3737.2,550.5,Waukesha,WI,no,no,no,yes, ,Aaron Jagdfeld,723,0,https://www.generac.com
Mettler-Toledo International,MTD,Technology,31220.3,16700,3717.9,769,Columbus,OH,no,no,no,yes, ,Patrick Kaltenbach,724,0,https://www.mt.com
Abercrombie & Fitch,ANF,Retailing,1619.5,19250,3712.8,263,New Albany,OH,no,no,yes,yes, ,Fran Horowitz,725,0,https://www.abercrombie.com
Teradyne,TER,Technology,11211,5900,3702.9,1014.6,North Reading,MA,no,no,no,yes, ,Mark Jagiela,726,0,https://www.teradyne.com
American Equity Investment Life Holding,AEL,Financials,3869.2,850,3689.5,474,West Des Moines,IA,no,no,no,yes, ,Anant Bhalla,727,0,https://www.american-equity.com
Southwest Gas Holdings,SWX,Energy,5233.6,12720,3680.5,200.8,Las Vegas,NV,no,no,yes,yes, ,Karen S. Haller,728,0,https://www.swgasholdings.com
